================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0001
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  58
  Relevant system detections:    55
  (within GT distance zone, vehicle classes only)
  Successfully matched:          55
  Recall:                        94.8%
  Precision:                     100.0%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             60         55         91.7%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    55
  MAE (Mean Abs Error):       1.60 m
  RMSE:                       2.14 m
  Mean Error:                 0.53 m (bias)
  Std Dev:                    2.08 m
  Mean % Error:               6.8%
  Median % Error:             4.1%

  By distance range:
      5-15 m: MAE=1.04m, Mean%Err=7.8%, N=9
     15-30 m: MAE=1.50m, Mean%Err=6.9%, N=29
     30-50 m: MAE=2.07m, Mean%Err=6.2%, N=17

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    53
  MAE:                        2.07 m/s
  RMSE:                       3.37 m/s
  Mean Bias:                  -2.07 m/s
  Mean % Error:               16.6%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    108
  MAE:                        0.00 km/h
  Mean Bias:                  -0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  3       Car          38.91        38.36         -0.55      -1.4     0.00          -1.00   
  3       Car          29.56        25.30         -4.25      -14.4    0.00          -1.00   
  6       Car          34.82        36.29         1.47       4.2      5.91          -1.00   
  6       Car          25.47        23.58         -1.89      -7.4     4.87          -1.00   
  6       Car          17.01        12.88         -4.13      -24.3    3.89          -1.00   
  8       Car          22.72        21.58         -1.14      -5.0     6.25          -1.00   
  9       Car          30.79        32.71         1.93       6.3      8.51          -1.00   
  9       Car          37.60        35.81         -1.79      -4.8     5.87          -1.00   
  10      Car          36.28        34.72         -1.56      -4.3     6.72          -1.00   
  11      Car          18.84        18.23         -0.61      -3.2     8.23          7.03    
  11      Car          34.97        33.50         -1.47      -4.2     7.27          -1.00   
  11      Car          28.16        30.16         2.00       7.1      9.90          -1.00   
  13      Car          16.17        15.89         -0.28      -1.7     9.17          6.77    
  13      Car          32.34        30.86         -1.48      -4.6     8.35          -1.00   
  14      Car          31.02        29.75         -1.28      -4.1     8.84          -1.00   
  15      Car          13.57        13.42         -0.14      -1.0     12.15         6.78    
  15      Car          29.80        28.60         -1.20      -4.0     9.35          -1.00   
  15      Car          23.03        24.84         1.81       7.9      12.15         7.74    
  16      Car          21.71        23.48         1.77       8.2      12.07         7.63    
  18      Car          25.99        25.36         -0.62      -2.4     11.95         8.10    
  18      Car          31.05        35.37         4.32       13.9     11.95         8.25    
  19      Car          17.98        19.90         1.93       10.7     11.91         7.36    
  20      Car          33.40        33.07         -0.33      -1.0     11.87         8.11    
  22      Car          21.00        20.70         -0.30      -1.4     11.79         7.49    
  22      Car          14.26        16.04         1.78       12.5     11.79         7.13    
  23      Car          24.89        29.22         4.33       17.4     11.75         7.90    
  24      Car          38.10        39.41         1.31       3.4      11.71         -1.00   
  25      Car          22.41        26.83         4.42       19.7     11.68         7.77    
  26      Car          16.15        15.98         -0.17      -1.0     11.65         7.14    
  26      Car          26.01        25.52         -0.50      -1.9     11.65         7.70    
  28      Car          23.55        23.11         -0.44      -1.9     11.59         7.56    
  29      Car          12.53        12.34         -0.20      -1.6     11.55         6.92    
  29      Car          32.11        33.22         1.11       3.5      11.55         8.17    
  29      Car          17.58        21.33         3.75       21.4     11.55         7.59    
  31      Car          20.01        19.52         -0.48      -2.4     11.49         7.35    
  32      Car          13.96        16.88         2.92       20.9     11.46         7.27    
  33      Car          27.32        28.08         0.76       2.8      11.42         7.88    
  36      Car          14.02        13.89         -0.13      -0.9     11.33         7.01    
  38      Car          21.35        21.99         0.64       3.0      11.26         7.53    
  43      Car          15.55        16.33         0.78       5.0      11.09         7.19    
  44      Car          39.42        38.22         -1.19      -3.0     11.06         -1.00   
  44      Car          19.59        22.59         3.00       15.3     11.06         7.61    
  48      Car          34.82        33.71         -1.11      -3.2     10.88         -1.00   
  49      Car          13.90        16.06         2.16       15.5     10.80         7.22    
  51      Car          11.73        13.42         1.70       14.5     10.61         7.07    
  53      Car          29.29        28.51         -0.79      -2.7     10.43         8.03    
  55      Car          27.20        26.39         -0.80      -3.0     10.29         7.92    
  58      Car          24.08        23.62         -0.46      -1.9     9.99          7.77    
  60      Car          22.02        21.71         -0.31      -1.4     9.78          7.67    
  63      Car          19.10        19.13         0.03       0.2      9.49          7.53    

================================================================================
  END OF REPORT
================================================================================
