================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0005
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  93
  Relevant system detections:    91
  (within GT distance zone, vehicle classes only)
  Successfully matched:          91
  Recall:                        97.8%
  Precision:                     100.0%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             37         36         97.3%
  Van             57         55         96.5%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    91
  MAE (Mean Abs Error):       3.43 m
  RMSE:                       4.74 m
  Mean Error:                 -2.71 m (bias)
  Std Dev:                    3.89 m
  Mean % Error:               16.4%
  Median % Error:             10.2%

  By distance range:
      5-15 m: MAE=1.33m, Mean%Err=12.4%, N=27
     15-30 m: MAE=3.41m, Mean%Err=17.8%, N=43
     30-50 m: MAE=6.41m, Mean%Err=17.7%, N=20

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    82
  MAE:                        2.11 m/s
  RMSE:                       2.83 m/s
  Mean Bias:                  -0.48 m/s
  Mean % Error:               65.6%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    154
  MAE:                        0.00 km/h
  Mean Bias:                  0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  3       Van          14.21        9.34          -4.87      -34.3    0.00          -1.00   
  5       Van          14.56        9.42          -5.15      -35.3    -0.23         -1.00   
  10      Van          15.39        10.01         -5.38      -35.0    -0.55         -1.00   
  15      Van          16.10        10.46         -5.63      -35.0    -0.62         -1.00   
  15      Van          38.45        27.52         -10.94     -28.4    0.00          -1.00   
  17      Van          16.35        10.63         -5.72      -35.0    -0.67         -1.00   
  17      Van          37.96        27.36         -10.61     -27.9    -2.56         -1.00   
  20      Van          16.77        10.93         -5.83      -34.8    -0.64         -1.00   
  20      Van          37.21        26.86         -10.36     -27.8    -0.85         -1.00   
  21      Van          16.91        11.16         -5.76      -34.0    -0.63         -1.00   
  23      Van          17.20        11.43         -5.77      -33.5    -0.67         -1.00   
  24      Van          36.35        25.95         -10.41     -28.6    0.31          -1.00   
  25      Van          17.49        11.66         -5.83      -33.3    -0.72         -1.00   
  25      Van          35.98        25.59         -10.39     -28.9    0.47          -1.00   
  26      Van          35.39        25.21         -10.19     -28.8    0.73          -1.00   
  27      Van          35.24        25.15         -10.10     -28.6    0.85          -1.00   
  28      Van          17.97        12.05         -5.92      -32.9    -0.80         -1.00   
  28      Van          34.87        25.07         -9.80      -28.1    1.07          -1.00   
  29      Van          34.50        24.73         -9.77      -28.3    1.20          -1.00   
  30      Van          18.32        12.25         -6.08      -33.2    -0.84         -1.00   
  30      Van          34.13        24.82         -9.31      -27.3    1.20          -1.00   
  32      Van          18.66        12.50         -6.16      -33.0    -0.83         -1.00   
  35      Van          19.07        12.74         -6.32      -33.2    -0.81         -1.00   
  37      Van          19.33        12.84         -6.49      -33.6    -0.65         -1.00   
  40      Van          19.56        12.66         -6.90      -35.3    -0.53         -1.00   
  43      Van          19.63        21.24         1.62       8.2      1.30          -1.00   
  45      Van          27.07        20.03         -7.04      -26.0    1.07          -1.00   
  50      Van          24.07        21.89         -2.19      -9.1     1.37          -1.00   
  55      Van          19.05        16.28         -2.77      -14.5    1.08          -1.00   
  55      Van          20.91        12.69         -8.22      -39.3    0.00          -1.00   
  60      Van          18.46        16.58         -1.88      -10.2    3.33          -1.00   
  65      Van          15.83        11.99         -3.84      -24.3    3.91          -1.00   
  65      Van          18.00        12.48         -5.53      -30.7    0.74          -1.00   
  67      Van          17.91        12.44         -5.47      -30.5    0.90          -1.00   
  80      Van          12.22        13.39         1.17       9.5      -0.06         -1.00   
  85      Van          11.37        7.26          -4.10      -36.1    0.59          -1.00   
  90      Van          10.28        6.19          -4.09      -39.8    0.68          -1.00   
  95      Van          8.89         5.55          -3.34      -37.5    0.65          -1.00   
  95      Van          27.53        34.56         7.03       25.5     0.00          -1.00   
  97      Van          28.74        34.22         5.48       19.1     0.52          -1.00   
  100     Van          7.15         4.93          -2.22      -31.1    0.51          -1.00   
  100     Van          30.31        33.67         3.36       11.1     0.63          -1.00   
  105     Van          5.08         4.57          -0.51      -10.1    0.00          -1.00   
  105     Van          32.85        32.14         -0.71      -2.2     0.64          -1.00   
  109     Car          22.11        20.10         -2.01      -9.1     0.00          -1.00   
  109     Van          34.42        30.60         -3.82      -11.1    0.75          -1.00   
  112     Car          20.89        19.47         -1.42      -6.8     0.49          -1.00   
  114     Car          20.08        18.67         -1.41      -7.0     0.57          -1.00   
  117     Van          36.80        37.31         0.50       1.4      2.34          -1.00   
  119     Car          17.70        16.70         -1.00      -5.6     1.13          -1.00   

================================================================================
  END OF REPORT
================================================================================
