================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0011
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  107
  Relevant system detections:    99
  (within GT distance zone, vehicle classes only)
  Successfully matched:          98
  Recall:                        91.6%
  Precision:                     99.0%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             76         69         90.8%
  Truck           15         14         93.3%
  Van             19         15         78.9%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    98
  MAE (Mean Abs Error):       2.09 m
  RMSE:                       2.60 m
  Mean Error:                 -0.80 m (bias)
  Std Dev:                    2.47 m
  Mean % Error:               8.0%
  Median % Error:             7.3%

  By distance range:
      5-15 m: MAE=1.14m, Mean%Err=9.9%, N=11
     15-30 m: MAE=1.79m, Mean%Err=8.1%, N=38
     30-50 m: MAE=2.53m, Mean%Err=7.5%, N=49

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    91
  MAE:                        2.90 m/s
  RMSE:                       4.06 m/s
  Mean Bias:                  -2.05 m/s
  Mean % Error:               114.6%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    206
  MAE:                        0.00 km/h
  Mean Bias:                  0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  3       Car          27.71        26.78         -0.94      -3.4     0.00          -1.00   
  5       Car          19.83        16.85         -2.98      -15.0    2.87          -1.00   
  56      Car          36.53        42.15         5.63       15.4     10.94         -1.00   
  58      Car          32.48        38.19         5.71       17.6     10.85         -1.00   
  61      Car          26.53        31.29         4.76       17.9     10.63         8.47    
  62      Car          37.92        38.97         1.06       2.8      10.55         -1.00   
  63      Car          22.61        26.92         4.31       19.1     10.45         8.15    
  64      Car          35.78        37.02         1.23       3.4      10.33         -1.00   
  65      Car          18.69        23.17         4.47       23.9     20.57         7.47    
  67      Car          32.76        34.42         1.66       5.1      9.91          -1.00   
  68      Car          13.05        17.33         4.29       32.8     20.50         6.93    
  69      Car          30.74        32.64         1.90       6.2      9.61          -1.00   
  71      Car          28.95        31.11         2.16       7.5      9.26          -1.00   
  75      Car          25.33        27.27         1.94       7.7      8.78          -1.00   
  78      Car          22.61        24.46         1.86       8.2      8.46          8.13    
  80      Car          20.82        22.66         1.85       8.9      8.21          8.04    
  85      Car          16.96        18.82         1.86       11.0     7.45          7.86    
  89      Car          14.13        15.64         1.51       10.7     6.70          7.71    
  93      Car          11.68        12.70         1.01       8.7      5.96          7.58    
  94      Car          38.93        38.21         -0.72      -1.8     5.78          -1.00   
  97      Car          9.49         10.13         0.64       6.7      5.24          7.44    
  99      Car          33.12        33.75         0.63       1.9      4.88          -1.00   
  100     Car          38.57        37.90         -0.67      -1.7     3.86          -1.00   
  102     Van          36.58        36.18         -0.41      -1.1     0.00          -1.00   
  102     Car          7.17         7.38          0.21       2.9      4.40          7.26    
  103     Car          28.16        30.27         2.11       7.5      4.27          -1.00   
  103     Car          38.34        34.14         -4.20      -11.0    4.27          -1.00   
  105     Car          38.65        37.01         -1.63      -4.2     0.00          -1.00   
  105     Car          38.82        37.08         -1.73      -4.5     0.00          -1.00   
  105     Car          35.69        34.05         -1.64      -4.6     3.98          -1.00   
  106     Car          5.51         6.40          0.89       16.1     3.82          7.18    
  106     Car          36.32        32.67         -3.65      -10.1    3.82          -1.00   
  108     Car          21.64        23.58         1.94       9.0      9.19          9.35    
  108     Car          34.27        32.21         -2.07      -6.0     3.52          -1.00   
  108     Car          34.93        36.54         1.61       4.6      0.45          -1.00   
  110     Car          37.13        35.24         -1.89      -5.1     3.20          -1.00   
  111     Car          17.58        19.74         2.16       12.3     10.50         8.09    
  111     Car          32.62        29.39         -3.22      -9.9     3.07          -1.00   
  114     Car          13.45        15.74         2.29       17.0     11.73         7.39    
  114     Car          30.22        27.58         -2.64      -8.7     2.68          -1.00   
  115     Car          35.40        34.50         -0.90      -2.5     2.55          -1.00   
  115     Car          32.46        29.81         -2.65      -8.2     0.00          -1.00   
  117     Car          27.75        25.55         -2.20      -7.9     2.29          -1.00   
  117     Car          32.28        29.46         -2.83      -8.8     3.28          -1.00   
  119     Car          33.91        32.86         -1.05      -3.1     2.06          -1.00   
  120     Car          25.06        23.27         -1.79      -7.1     6.26          -1.00   
  120     Car          32.32        29.78         -2.54      -7.9     1.93          -1.00   
  121     Van          33.74        25.90         -7.84      -23.2    0.00          -1.00   
  122     Car          23.28        21.83         -1.45      -6.2     6.51          -1.00   
  123     Car          32.23        31.35         -0.87      -2.7     1.60          -1.00   

================================================================================
  END OF REPORT
================================================================================
