================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0014
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  193
  Relevant system detections:    180
  (within GT distance zone, vehicle classes only)
  Successfully matched:          168
  Recall:                        87.0%
  Precision:                     93.3%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             178        150        84.3%
  Van             20         18         90.0%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    168
  MAE (Mean Abs Error):       3.27 m
  RMSE:                       3.99 m
  Mean Error:                 0.31 m (bias)
  Std Dev:                    3.98 m
  Mean % Error:               13.9%
  Median % Error:             13.5%

  By distance range:
      5-15 m: MAE=2.39m, Mean%Err=18.6%, N=27
     15-30 m: MAE=2.97m, Mean%Err=13.8%, N=85
     30-50 m: MAE=4.15m, Mean%Err=11.9%, N=56

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    147
  MAE:                        7.73 m/s
  RMSE:                       9.35 m/s
  Mean Bias:                  -6.49 m/s
  Mean % Error:               64.3%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    314
  MAE:                        0.00 km/h
  Mean Bias:                  -0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  3       Car          20.74        19.20         -1.53      -7.4     0.00          -1.00   
  5       Car          18.43        18.43         0.00       0.0      3.11          -1.00   
  6       Car          13.60        11.59         -2.01      -14.8    1.47          -1.00   
  7       Car          16.00        16.76         0.77       4.8      3.09          -1.00   
  7       Van          22.15        20.89         -1.26      -5.7     -11.77        -1.00   
  8       Van          21.51        23.38         1.87       8.7      -10.86        -1.00   
  9       Car          13.14        11.34         -1.79      -13.7    0.47          -1.00   
  9       Van          20.91        25.06         4.15       19.8     -8.34         -1.00   
  11      Van          19.71        26.48         6.77       34.4     -6.27         -1.00   
  12      Car          12.92        10.82         -2.10      -16.3    0.34          -1.00   
  13      Van          18.41        23.67         5.27       28.6     -5.51         -1.00   
  14      Car          13.21        10.70         -2.51      -19.0    0.37          -1.00   
  16      Car          21.71        19.46         -2.25      -10.4    0.00          -1.00   
  16      Car          13.72        10.98         -2.75      -20.0    0.37          -1.00   
  17      Van          15.03        14.95         -0.08      -0.5     -0.82         -1.00   
  17      Car          13.89        11.18         -2.71      -19.5    0.34          -1.00   
  18      Van          13.97        13.68         -0.29      -2.1     0.00          -1.00   
  18      Car          20.53        19.14         -1.40      -6.8     0.35          -1.00   
  19      Car          20.04        18.78         -1.26      -6.3     0.40          -1.00   
  19      Car          26.33        24.49         -1.84      -7.0     0.00          -1.00   
  20      Van          11.85        9.51          -2.34      -19.8    0.00          -1.00   
  21      Car          18.50        17.98         -0.52      -2.8     0.56          -1.00   
  21      Car          25.54        24.06         -1.48      -5.8     0.65          -1.00   
  21      Car          15.51        11.77         -3.74      -24.1    0.13          -1.00   
  22      Car          15.98        12.03         -3.95      -24.7    0.05          -1.00   
  23      Car          16.63        16.55         -0.08      -0.5     0.79          -1.00   
  23      Car          24.88        23.84         -1.04      -4.2     0.62          -1.00   
  23      Car          32.92        29.02         -3.90      -11.8    0.00          -1.00   
  24      Car          24.24        23.76         -0.47      -2.0     0.58          -1.00   
  24      Car          17.11        12.86         -4.25      -24.8    -0.10         -1.00   
  25      Car          14.32        15.01         0.69       4.8      1.10          -1.00   
  25      Car          32.69        29.10         -3.59      -11.0    -0.12         -1.00   
  25      Car          17.72        13.25         -4.47      -25.2    -0.20         -1.00   
  26      Car          22.91        23.09         0.19       0.8      0.53          -1.00   
  27      Car          21.98        22.67         0.70       3.2      0.53          -1.00   
  27      Car          11.87        13.12         1.25       10.5     1.37          -1.00   
  27      Car          32.15        29.35         -2.80      -8.7     -0.27         -1.00   
  27      Car          19.20        14.14         -5.06      -26.4    -0.44         -1.00   
  28      Car          10.31        11.96         1.65       16.0     1.50          -1.00   
  29      Car          19.96        21.13         1.17       5.8      0.63          -1.00   
  29      Car          31.13        29.48         -1.65      -5.3     -0.24         -1.00   
  29      Car          20.75        15.10         -5.65      -27.2    -0.66         -1.00   
  30      Car          18.74        20.30         1.56       8.3      0.77          -1.00   
  31      Car          29.84        29.02         -0.82      -2.7     -0.20         -1.00   
  31      Car          22.21        16.39         -5.83      -26.2    -0.86         -1.00   
  32      Car          28.90        28.57         -0.34      -1.2     -0.12         -1.00   
  32      Car          15.98        18.13         2.15       13.5     1.05          -1.00   
  33      Car          27.85        28.05         0.20       0.7      -0.06         -1.00   
  33      Car          23.61        17.71         -5.89      -25.0    -1.06         -1.00   
  34      Car          35.49        33.75         -1.74      -4.9     -0.06         -1.00   

================================================================================
  END OF REPORT
================================================================================
