================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0032
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  95
  Relevant system detections:    91
  (within GT distance zone, vehicle classes only)
  Successfully matched:          91
  Recall:                        95.8%
  Precision:                     100.0%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             93         89         95.7%
  Truck           2          2          100.0%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    91
  MAE (Mean Abs Error):       2.11 m
  RMSE:                       2.67 m
  Mean Error:                 -0.16 m (bias)
  Std Dev:                    2.67 m
  Mean % Error:               8.8%
  Median % Error:             6.7%

  By distance range:
      5-15 m: MAE=1.97m, Mean%Err=17.4%, N=8
     15-30 m: MAE=2.27m, Mean%Err=10.2%, N=42
     30-50 m: MAE=1.96m, Mean%Err=5.7%, N=41

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    89
  MAE:                        2.59 m/s
  RMSE:                       4.40 m/s
  Mean Bias:                  -1.08 m/s
  Mean % Error:               42.4%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    390
  MAE:                        0.00 km/h
  Mean Bias:                  -0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  16      Truck        31.84        32.14         0.30       0.9      14.21         8.08    
  22      Truck        13.52        17.78         4.26       31.5     15.33         7.09    
  183     Car          33.18        32.33         -0.85      -2.6     4.62          -1.00   
  187     Car          31.35        31.38         0.03       0.1      3.87          -1.00   
  188     Car          37.82        37.65         -0.18      -0.5     4.72          -1.00   
  193     Car          35.96        35.67         -0.29      -0.8     5.41          -1.00   
  198     Car          34.45        34.48         0.02       0.1      4.63          -1.00   
  198     Car          27.62        27.65         0.03       0.1      2.90          -1.00   
  202     Car          26.66        26.12         -0.54      -2.0     3.30          -1.00   
  203     Car          24.50        29.70         5.20       21.2     21.60         7.15    
  204     Car          33.51        32.82         -0.70      -2.1     3.09          -1.00   
  204     Car          21.86        27.25         5.38       24.6     21.87         7.07    
  205     Car          25.94        25.20         -0.74      -2.9     3.53          -1.00   
  205     Car          19.32        24.78         5.46       28.3     22.15         6.98    
  206     Car          33.26        32.05         -1.21      -3.6     2.71          -1.00   
  207     Car          25.47        24.73         -0.73      -2.9     3.59          -1.00   
  208     Car          24.96        24.38         -0.58      -2.3     3.59          -1.00   
  209     Car          32.88        31.72         -1.16      -3.5     2.78          -1.00   
  209     Car          35.29        43.38         8.09       22.9     11.29         -1.00   
  214     Car          32.77        31.66         -1.11      -3.4     2.22          -1.00   
  214     Car          24.63        31.72         7.10       28.8     19.86         7.66    
  217     Car          23.90        22.80         -1.11      -4.6     2.56          -1.00   
  220     Car          32.88        31.84         -1.05      -3.2     0.76          -1.00   
  223     Car          23.79        22.22         -1.57      -6.6     1.62          -1.00   
  224     Car          33.24        31.27         -1.97      -5.9     0.13          -1.00   
  225     Car          34.02        33.10         -0.92      -2.7     16.01         8.17    
  227     Car          23.71        22.08         -1.63      -6.9     1.14          -1.00   
  228     Car          26.73        27.05         0.33       1.2      15.77         7.57    
  228     Car          33.60        31.44         -2.16      -6.4     0.27          -1.00   
  230     Car          22.16        22.95         0.79       3.5      15.77         7.31    
  230     Car          39.25        41.91         2.66       6.8      19.14         8.13    
  231     Car          19.71        20.93         1.22       6.2      16.07         7.19    
  232     Car          34.42        31.88         -2.54      -7.4     0.10          -1.00   
  234     Car          24.44        22.83         -1.61      -6.6     0.18          -1.00   
  234     Car          34.83        32.29         -2.54      -7.3     -0.13         -1.00   
  237     Car          25.14        23.33         -1.81      -7.2     -0.39         -1.00   
  238     Car          25.32        23.53         -1.79      -7.1     -0.60         -1.00   
  238     Car          20.24        24.77         4.53       22.4     22.16         6.97    
  239     Car          36.00        33.61         -2.40      -6.7     -1.25         -1.00   
  244     Car          26.42        24.51         -1.91      -7.2     -1.30         -1.00   
  244     Car          37.38        34.90         -2.49      -6.6     -2.04         -1.00   
  246     Car          38.02        35.67         -2.36      -6.2     -2.28         -1.00   
  248     Car          38.42        39.58         1.16       3.0      10.63         -1.00   
  249     Car          37.07        38.57         1.50       4.0      10.68         -1.00   
  249     Car          27.35        25.52         -1.84      -6.7     -1.61         -1.00   
  249     Car          38.98        35.99         -2.99      -7.7     -2.58         -1.00   
  251     Car          39.50        36.70         -2.80      -7.1     -2.58         -1.00   
  252     Car          33.58        35.15         1.57       4.7      10.86         -1.00   
  252     Car          27.91        25.97         -1.94      -7.0     -1.81         -1.00   
  254     Car          28.28        26.47         -1.81      -6.4     -1.88         -1.00   

================================================================================
  END OF REPORT
================================================================================
