================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0039
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  335
  Relevant system detections:    317
  (within GT distance zone, vehicle classes only)
  Successfully matched:          316
  Recall:                        94.3%
  Precision:                     99.7%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             305        284        93.1%
  Truck           4          4          100.0%
  Van             29         28         96.6%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    316
  MAE (Mean Abs Error):       1.94 m
  RMSE:                       2.86 m
  Mean Error:                 -0.16 m (bias)
  Std Dev:                    2.86 m
  Mean % Error:               13.4%
  Median % Error:             6.5%

  By distance range:
      5-15 m: MAE=1.24m, Mean%Err=12.3%, N=82
     15-30 m: MAE=1.60m, Mean%Err=7.2%, N=146
     30-50 m: MAE=3.10m, Mean%Err=8.9%, N=72

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    306
  MAE:                        0.98 m/s
  RMSE:                       1.77 m/s
  Mean Bias:                  -0.76 m/s
  Mean % Error:               15.8%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    395
  MAE:                        0.00 km/h
  Mean Bias:                  -0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  3       Car          20.76        19.59         -1.18      -5.7     0.00          -1.00   
  3       Car          13.78        10.57         -3.21      -23.3    0.00          -1.00   
  5       Car          20.48        19.61         -0.86      -4.2     -0.04         -1.00   
  5       Car          13.70        10.63         -3.07      -22.4    -0.09         -1.00   
  7       Car          13.46        10.44         -3.01      -22.4    0.01          -1.00   
  8       Car          19.52        19.07         -0.45      -2.3     0.14          -1.00   
  9       Car          12.97        10.18         -2.79      -21.5    0.10          -1.00   
  12      Car          17.32        17.59         0.27       1.6      0.47          -1.00   
  15      Car          15.40        15.93         0.54       3.5      0.75          -1.00   
  15      Car          10.45        8.70          -1.76      -16.8    0.39          -1.00   
  15      Car          32.33        24.95         -7.37      -22.8    0.00          -1.00   
  16      Car          31.67        30.98         -0.69      -2.2     0.00          -1.00   
  17      Car          31.03        30.65         -0.38      -1.2     0.00          -1.00   
  17      Car          31.05        24.55         -6.50      -20.9    0.62          -1.00   
  18      Car          13.61        14.08         0.47       3.4      1.39          -1.00   
  19      Car          29.78        29.65         -0.13      -0.4     2.29          -1.00   
  19      Car          29.78        24.03         -5.76      -19.3    1.18          -1.00   
  20      Car          29.15        29.03         -0.12      -0.4     3.17          -1.00   
  20      Car          12.29        12.71         0.42       3.4      2.70          -1.00   
  20      Car          7.64         6.70          -0.94      -12.3    1.44          -1.00   
  20      Car          29.16        23.70         -5.46      -18.7    1.63          -1.00   
  22      Car          27.81        27.57         -0.24      -0.9     4.85          -1.00   
  22      Car          10.95        11.35         0.40       3.7      4.68          10.63   
  24      Car          26.49        26.33         -0.16      -0.6     5.79          -1.00   
  25      Car          25.81        25.95         0.14       0.5      6.69          -1.00   
  25      Car          8.87         9.23          0.36       4.1      6.69          8.36    
  25      Car          4.18         5.49          1.31       31.3     3.23          8.40    
  25      Car          26.07        21.33         -4.73      -18.2    3.51          -1.00   
  30      Car          22.20        22.78         0.58       2.6      7.26          -1.00   
  30      Car          5.23         6.99          1.77       33.8     7.26          7.00    
  30      Car          22.46        18.79         -3.68      -16.4    4.09          -1.00   
  33      Car          19.93        20.48         0.55       2.8      7.44          8.23    
  35      Car          18.39        19.12         0.72       3.9      7.45          8.02    
  35      Car          18.47        15.75         -2.72      -14.7    7.45          8.18    
  37      Car          16.92        17.60         0.68       4.0      7.45          7.85    
  38      Car          16.16        13.95         -2.21      -13.7    7.46          7.64    
  40      Car          14.59        15.43         0.83       5.7      7.48          7.62    
  40      Car          14.57        12.75         -1.82      -12.5    7.48          7.42    
  45      Car          10.71        11.52         0.81       7.6      7.60          7.24    
  45      Car          10.70        9.71          -1.00      -9.3     7.60          7.05    
  50      Car          6.66         7.64          0.97       14.6     7.79          6.85    
  54      Car          38.25        39.63         1.38       3.6      7.97          -1.00   
  55      Car          16.25        18.19         1.94       11.9     8.03          7.80    
  57      Car          35.74        36.61         0.87       2.4      8.14          -1.00   
  58      Car          34.87        35.57         0.70       2.0      8.19          -1.00   
  58      Car          13.75        15.37         1.62       11.8     8.19          7.52    
  60      Car          33.13        34.03         0.90       2.7      8.32          -1.00   
  60      Car          12.07        13.53         1.45       12.0     8.32          7.35    
  60      Car          8.58         10.27         1.70       19.8     8.32          7.07    
  60      Car          3.23         6.78          3.55       110.1    8.32          5.03    

================================================================================
  END OF REPORT
================================================================================
