================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0056
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  183
  Relevant system detections:    151
  (within GT distance zone, vehicle classes only)
  Successfully matched:          149
  Recall:                        81.4%
  Precision:                     98.7%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             154        139        90.3%
  Tram            22         9          40.9%
  Truck           3          0          0.0%
  Van             5          1          20.0%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    149
  MAE (Mean Abs Error):       3.38 m
  RMSE:                       3.69 m
  Mean Error:                 -1.06 m (bias)
  Std Dev:                    3.54 m
  Mean % Error:               15.7%
  Median % Error:             13.3%

  By distance range:
      5-15 m: MAE=3.48m, Mean%Err=31.6%, N=11
     15-30 m: MAE=3.23m, Mean%Err=14.1%, N=115
     30-50 m: MAE=4.07m, Mean%Err=11.7%, N=22

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    138
  MAE:                        5.30 m/s
  RMSE:                       10.76 m/s
  Mean Bias:                  -5.08 m/s
  Mean % Error:               42.2%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    294
  MAE:                        0.00 km/h
  Mean Bias:                  -0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  4       Car          33.19        32.54         -0.65      -2.0     0.00          -1.00   
  4       Car          32.41        34.25         1.84       5.7      0.00          -1.00   
  4       Car          21.03        17.94         -3.09      -14.7    0.00          -1.00   
  5       Car          29.60        32.91         3.31       11.2     11.55         8.49    
  6       Car          28.77        30.28         1.52       5.3      8.28          -1.00   
  8       Car          24.31        27.03         2.72       11.2     9.67          6.98    
  8       Car          21.30        18.24         -3.06      -14.4    -0.55         -1.00   
  8       Car          20.91        26.82         5.92       28.3     13.93         5.99    
  10      Car          21.43        18.32         -3.12      -14.5    -0.61         -1.00   
  10      Car          15.24        21.75         6.52       42.8     12.83         5.58    
  12      Car          9.52         16.24         6.73       70.7     12.97         5.73    
  15      Car          21.69        18.62         -3.07      -14.2    -0.46         -1.00   
  17      Car          21.76        18.67         -3.09      -14.2    -0.46         -1.00   
  20      Car          21.88        18.87         -3.01      -13.7    -0.50         -1.00   
  24      Car          22.02        19.02         -3.00      -13.6    -0.56         -1.00   
  28      Car          22.19        19.13         -3.06      -13.8    -0.56         -1.00   
  31      Car          22.33        19.17         -3.16      -14.2    -0.44         -1.00   
  33      Car          22.46        19.28         -3.18      -14.1    -0.38         -1.00   
  35      Car          22.59        19.50         -3.09      -13.7    -0.34         -1.00   
  38      Car          22.80        19.75         -3.06      -13.4    -0.37         -1.00   
  43      Car          23.25        20.25         -2.99      -12.9    -0.61         -1.00   
  47      Car          23.62        20.57         -3.05      -12.9    -0.84         -1.00   
  48      Car          23.69        20.71         -2.99      -12.6    -0.90         -1.00   
  51      Car          23.95        20.89         -3.06      -12.8    -0.91         -1.00   
  55      Car          24.22        21.20         -3.02      -12.5    -0.88         -1.00   
  57      Car          24.33        21.23         -3.11      -12.8    -0.83         -1.00   
  58      Car          24.40        21.22         -3.18      -13.0    -0.81         -1.00   
  60      Car          24.52        21.30         -3.23      -13.2    -0.66         -1.00   
  61      Car          24.59        21.43         -3.16      -12.8    -0.63         -1.00   
  62      Car          24.65        21.38         -3.27      -13.3    -0.60         -1.00   
  64      Car          24.79        21.54         -3.25      -13.1    -0.56         -1.00   
  66      Car          24.91        21.48         -3.43      -13.8    -0.51         -1.00   
  67      Car          24.96        21.48         -3.48      -13.9    -0.48         -1.00   
  70      Car          25.17        21.56         -3.61      -14.3    -0.35         -1.00   
  73      Car          25.37        21.75         -3.61      -14.2    -0.27         -1.00   
  75      Car          25.50        21.92         -3.58      -14.0    -0.28         -1.00   
  75      Car          38.76        45.53         6.77       17.5     4.63          -1.00   
  77      Car          32.58        39.94         7.37       22.6     14.85         11.65   
  78      Car          25.67        21.81         -3.87      -15.1    -0.35         -1.00   
  79      Car          36.67        33.95         -2.72      -7.4     19.73         9.09    
  81      Car          25.86        22.16         -3.69      -14.3    -0.37         -1.00   
  82      Car          26.29        25.02         -1.28      -4.9     23.58         7.59    
  84      Car          25.97        22.15         -3.82      -14.7    -0.44         -1.00   
  85      Car          16.07        22.20         6.13       38.1     -0.44         -1.00   
  88      Car          26.04        22.57         -3.47      -13.3    -0.42         -1.00   
  90      Car          26.07        22.77         -3.30      -12.7    -0.46         -1.00   
  93      Car          26.08        22.79         -3.29      -12.6    -0.62         -1.00   
  95      Car          26.01        22.78         -3.23      -12.4    -0.65         -1.00   
  97      Car          25.94        22.65         -3.29      -12.7    -0.60         -1.00   
  100     Car          25.80        22.54         -3.26      -12.6    -0.41         -1.00   

================================================================================
  END OF REPORT
================================================================================
