================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0057
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  55
  Relevant system detections:    50
  (within GT distance zone, vehicle classes only)
  Successfully matched:          50
  Recall:                        90.9%
  Precision:                     100.0%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             51         45         88.2%
  Truck           4          4          100.0%
  Van             1          1          100.0%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    50
  MAE (Mean Abs Error):       2.53 m
  RMSE:                       3.22 m
  Mean Error:                 -2.18 m (bias)
  Std Dev:                    2.37 m
  Mean % Error:               9.2%
  Median % Error:             7.4%

  By distance range:
     15-30 m: MAE=2.00m, Mean%Err=9.3%, N=29
     30-50 m: MAE=3.26m, Mean%Err=9.0%, N=21

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    45
  MAE:                        3.73 m/s
  RMSE:                       4.53 m/s
  Mean Bias:                  -2.43 m/s
  Mean % Error:               76.3%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    204
  MAE:                        0.00 km/h
  Mean Bias:                  -0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  5       Car          32.94        36.26         3.32       10.1     0.00          -1.00   
  9       Car          33.94        34.62         0.68       2.0      1.43          -1.00   
  10      Car          38.49        33.93         -4.55      -11.8    2.75          -1.00   
  13      Car          35.79        31.92         -3.87      -10.8    -2.08         -1.00   
  13      Car          39.30        34.32         -4.97      -12.7    3.88          -1.00   
  18      Car          37.17        33.63         -3.53      -9.5     -1.79         -1.00   
  69      Truck        24.69        18.82         -5.87      -23.8    -1.73         -1.00   
  75      Truck        21.99        16.42         -5.56      -25.3    3.30          -1.00   
  80      Truck        18.81        14.06         -4.74      -25.2    4.51          -1.00   
  84      Truck        15.98        11.60         -4.37      -27.4    4.38          8.24    
  90      Car          27.96        24.98         -2.97      -10.6    -0.04         -1.00   
  115     Van          37.57        37.36         -0.21      -0.6     0.00          -1.00   
  121     Car          21.43        16.70         -4.74      -22.1    0.90          -1.00   
  125     Car          19.50        16.83         -2.68      -13.7    0.94          -1.00   
  136     Car          18.73        16.63         -2.10      -11.2    2.68          -1.00   
  138     Car          20.00        18.58         -1.42      -7.1     0.84          -1.00   
  140     Car          18.41        16.02         -2.39      -13.0    1.85          -1.00   
  153     Car          18.57        18.02         -0.55      -3.0     3.34          -1.00   
  167     Car          18.77        16.04         -2.73      -14.5    -0.57         -1.00   
  175     Car          35.15        29.57         -5.59      -15.9    0.00          -1.00   
  178     Car          34.88        27.33         -7.56      -21.7    1.77          -1.00   
  180     Car          37.54        31.15         -6.39      -17.0    0.00          -1.00   
  218     Car          33.66        28.45         -5.20      -15.5    0.00          -1.00   
  224     Car          35.75        28.87         -6.88      -19.2    -0.74         -1.00   
  290     Car          27.85        25.09         -2.76      -9.9     -0.25         -1.00   
  296     Car          26.98        24.38         -2.60      -9.6     0.45          -1.00   
  301     Car          25.92        24.11         -1.81      -7.0     2.41          -1.00   
  305     Car          24.56        23.64         -0.92      -3.7     3.25          -1.00   
  305     Car          37.42        35.38         -2.04      -5.5     3.25          -1.00   
  305     Car          38.81        36.30         -2.51      -6.5     3.25          -1.00   
  309     Car          22.81        22.24         -0.58      -2.5     4.14          -1.00   
  309     Car          33.02        31.66         -1.37      -4.1     4.14          -1.00   
  309     Car          34.53        32.79         -1.74      -5.0     4.14          -1.00   
  312     Car          39.50        36.90         -2.60      -6.6     4.81          -1.00   
  313     Car          29.58        28.67         -0.91      -3.1     5.00          -1.00   
  315     Car          19.73        19.79         0.06       0.3      2.54          -1.00   
  315     Car          25.65        25.55         -0.10      -0.4     5.37          -1.00   
  315     Car          36.41        34.74         -1.67      -4.6     5.37          -1.00   
  317     Car          24.11        24.06         -0.04      -0.2     5.72          -1.00   
  321     Car          28.94        28.78         -0.16      -0.5     6.44          -1.00   
  321     Car          18.33        19.13         0.80       4.4      6.44          8.61    
  326     Car          21.81        22.39         0.57       2.6      7.27          -1.00   
  328     Car          39.91        36.84         -3.07      -7.7     7.61          -1.00   
  330     Car          15.70        16.96         1.25       8.0      7.94          7.89    
  331     Car          24.18        26.15         1.97       8.2      8.13          -1.00   
  332     Car          34.15        33.80         -0.35      -1.0     8.17          -1.00   
  333     Car          32.82        32.36         -0.46      -1.4     9.39          -1.00   
  335     Car          29.87        28.52         -1.35      -4.5     8.79          -1.00   
  338     Car          25.55        24.33         -1.22      -4.8     9.16          8.19    
  340     Car          22.56        21.92         -0.65      -2.9     9.26          7.94    

================================================================================
  END OF REPORT
================================================================================
