================================================================================
  FCW SYSTEM EVALUATION REPORT - 2011_09_26_drive_0084
================================================================================

1. DETECTION SUMMARY
----------------------------------------
  GT object-frames (annotated):  371
  Relevant system detections:    366
  (within GT distance zone, vehicle classes only)
  Successfully matched:          366
  Recall:                        98.7%
  Precision:                     100.0%

  NOTE: Precision is computed only against detections within the
  spatial zone where GT is annotated. KITTI tracklets do NOT label
  all visible objects, so detections outside GT zone are excluded.

2. DETECTION PER CLASS
----------------------------------------
  Class           GT Count   Matched    Recall    
  Car             373        366        98.1%

3. DISTANCE ESTIMATION ACCURACY
----------------------------------------
  Samples:                    366
  MAE (Mean Abs Error):       1.78 m
  RMSE:                       2.50 m
  Mean Error:                 0.42 m (bias)
  Std Dev:                    2.46 m
  Mean % Error:               10.4%
  Median % Error:             6.0%

  By distance range:
      5-15 m: MAE=1.54m, Mean%Err=16.9%, N=92
     15-30 m: MAE=1.64m, Mean%Err=7.4%, N=168
     30-50 m: MAE=2.18m, Mean%Err=6.3%, N=101

4. CLOSING SPEED ESTIMATION
----------------------------------------
  Samples:                    357
  MAE:                        2.12 m/s
  RMSE:                       4.00 m/s
  Mean Bias:                  -1.13 m/s
  Mean % Error:               30.6%

5. EGO SPEED (System vs OXTS Ground Truth)
----------------------------------------
  Samples:                    337
  MAE:                        0.00 km/h
  Mean Bias:                  0.00 km/h
  (Should be ~0 since system reads OXTS directly)

6. SAMPLE FRAME-BY-FRAME COMPARISON (first 20 matched frames)
--------------------------------------------------------------------------------
  Frame   GT_Type      GT_Dist(m)   Sys_Dist(m)   Error(m)   Error%   Closing(m/s)  TTC(s)  
  ------------------------------------------------------------------------------
  5       Car          12.88        12.22         -0.66      -5.1     3.03          -1.00   
  7       Car          35.84        37.73         1.88       5.3      0.12          -1.00   
  8       Car          38.02        37.83         -0.19      -0.5     -0.06         -1.00   
  10      Car          9.62         9.64          0.02       0.2      4.03          7.21    
  50      Car          37.96        37.22         -0.73      -1.9     -0.04         -1.00   
  50      Car          28.25        26.19         -2.06      -7.3     -0.08         -1.00   
  50      Car          35.86        32.86         -3.01      -8.4     -0.32         -1.00   
  53      Car          37.83        36.85         -0.98      -2.6     0.09          -1.00   
  53      Car          35.75        32.70         -3.04      -8.5     -0.39         -1.00   
  55      Car          37.77        36.74         -1.03      -2.7     0.29          -1.00   
  55      Car          28.14        26.12         -2.01      -7.2     -0.11         -1.00   
  55      Car          35.64        32.94         -2.70      -7.6     -0.29         -1.00   
  58      Car          37.51        36.30         -1.21      -3.2     0.61          -1.00   
  58      Car          27.88        26.20         -1.68      -6.0     -0.07         -1.00   
  60      Car          37.10        35.80         -1.30      -3.5     0.83          -1.00   
  60      Car          27.71        25.89         -1.82      -6.6     -0.06         -1.00   
  60      Car          35.29        31.55         -3.74      -10.6    0.30          -1.00   
  62      Car          27.29        25.20         -2.09      -7.7     0.02          -1.00   
  65      Car          35.46        34.36         -1.10      -3.1     1.84          -1.00   
  65      Car          26.41        25.18         -1.22      -4.6     0.59          -1.00   
  65      Car          34.48        29.53         -4.95      -14.3    1.84          -1.00   
  67      Car          25.66        24.68         -0.98      -3.8     2.16          -1.00   
  68      Car          33.88        32.96         -0.92      -2.7     2.32          -1.00   
  68      Car          13.93        11.27         -2.66      -19.1    2.32          -1.00   
  68      Car          33.66        29.31         -4.35      -12.9    2.32          -1.00   
  70      Car          32.56        32.11         -0.45      -1.4     2.69          -1.00   
  70      Car          24.19        23.56         -0.63      -2.6     2.69          -1.00   
  70      Car          13.29        11.10         -2.19      -16.5    2.69          -1.00   
  70      Car          32.98        29.80         -3.18      -9.6     2.69          -1.00   
  72      Car          22.84        22.67         -0.17      -0.7     3.10          -1.00   
  72      Car          32.02        31.33         -0.70      -2.2     3.10          -1.00   
  73      Car          30.38        30.52         0.15       0.5      3.29          -1.00   
  73      Car          31.35        30.11         -1.24      -4.0     3.29          -1.00   
  74      Car          21.51        21.48         -0.03      -0.1     3.48          -1.00   
  75      Car          20.73        20.79         0.06       0.3      3.69          -1.00   
  75      Car          28.71        28.88         0.16       0.6      3.69          -1.00   
  75      Car          30.19        29.11         -1.09      -3.6     3.69          -1.00   
  76      Car          27.86        27.80         -0.05      -0.2     3.85          -1.00   
  76      Car          29.52        28.26         -1.26      -4.3     3.85          -1.00   
  78      Car          26.11        26.25         0.13       0.5      4.12          -1.00   
  78      Car          18.24        18.66         0.43       2.3      4.12          -1.00   
  78      Car          28.03        26.73         -1.31      -4.7     4.12          -1.00   
  80      Car          16.42        16.69         0.26       1.6      4.31          -1.00   
  80      Car          24.15        24.86         0.71       2.9      4.31          -1.00   
  80      Car          26.42        24.76         -1.66      -6.3     4.31          -1.00   
  80      Car          39.47        34.39         -5.08      -12.9    4.31          -1.00   
  81      Car          25.56        24.10         -1.46      -5.7     4.42          -1.00   
  82      Car          22.18        23.12         0.94       4.3      4.52          -1.00   
  82      Car          24.65        23.05         -1.60      -6.5     4.52          -1.00   
  82      Car          38.01        33.13         -4.88      -12.8    4.52          -1.00   

================================================================================
  END OF REPORT
================================================================================
